responses,detection_time
"['18.988405797101453', '19.082092562013177', '19.07834114207468', '19.042424861403937', '19.01831282224536', '19.01086140628066', '18.9826990720735', '18.992859379563427', '18.983940840320823', '18.995133617854364', '19.013804254384798', '19.013808143063507']",120.0
"['19.14665127020784', '19.043896713615013', '19.029042386185242', '19.037638807714792', '19.047226107226095', '19.03199369582348', '19.023264476803273', '19.024026167112694', '19.028699551569503', '19.03177814805999', '19.025644357808098', '19.025644357808098']",120.0
"['19.05888324873097', '19.074005717597636', '19.045896258297212', '19.01920856770541', '19.007139498415253', '19.041501138313215', '19.02759534899698', '19.023555626531145', '19.011442265737887', '19.0184563758787', '19.017444713423583', '19.01744784322593']",120.0
"['19.06139409234705', '19.044655760354136', '19.04763221614268', '19.036932130072962', '19.037741730080924', '19.0122060486032', '19.019318317654648', '19.015912634625064', '19.007584851516924', '19.01170512373295', '19.01045658138831']",120.0
"['19.085046728971964', '18.963940520446098', '18.939530988274708', '18.972744205298028', '18.980594208349018', '19.011697019867555', '19.007655021575932', '19.01484856488819', '19.018113848768067', '19.010257738988134', '19.006117021276594', '19.006117021276594']",120.0
"['19.129864253393663', '19.01432281375263', '19.077690663152204', '19.021894389500325', '19.008636269105004', '18.994419434941967', '18.985860840635326', '18.979597803950128', '18.96928044717265', '18.97801189486767', '18.97948534341924', '18.979489262498305']",120.0
"['18.960983416073233', '18.983481363569823', '18.983603633826185', '18.978949410263702', '18.980621572321013', '18.976283955165577', '18.99068566952949', '18.998531514342353', '19.021226720205316', '19.01940281749056', '19.01374578177728']",120.0
"['19.11515151515151', '18.95459345949802', '18.985266449304277', '19.008032842392822', '18.995643403328856', '18.992431722981635', '19.00903377402891', '19.00173647116069', '19.00726832713002', '19.00439335708327', '19.013345481797494', '19.01334702345074']",120.0
"['18.993891250509243', '18.987977124154824', '18.983689793716156', '19.004960312301954', '19.04285736497497', '19.07886818112962', '19.062563143613747', '19.0630632678817', '19.053004064531088', '19.05956416731819', '19.05956427555479']",120.0
"['19.184615384615384', '19.19564691656591', '19.198863636363633', '19.168931088488648', '19.13572781065089', '19.12199672156739', '19.101422331728088', '19.08473695330656', '19.07372825296025', '19.076565119063464', '19.07335946858325', '19.07335946858325']",120.0
"['18.943349753694577', '18.95810204510294', '18.908263018427572', '18.942929228433893', '18.946486725470137', '18.990658870451163', '19.006982220020973', '19.002463120598343', '18.999826362319396', '18.99119004592839', '19.00078345247047', '19.000784940629913']",120.0
"['19.003456043235488', '18.98034157141285', '19.009103490025325', '19.013466091181947', '18.98324284784637', '19.005322977731787', '19.01593971808991', '19.012648125770276', '19.008467972252944', '19.0002809914998', '19.00028107231634']",120.0
"['18.973557692307683', '19.045302209055112', '19.030280736569107', '19.03616957407294', '19.037324720340315', '19.02029967966711', '19.034177027555504', '19.068560729099566', '19.058011742703044', '19.043881042634787', '19.038479144830312', '19.038479998802103']",120.0
"['19.28957828313194', '19.150035768068804', '19.078186843548195', '19.039409863988837', '19.04965461374487', '19.07582148486343', '19.059834816347713', '19.056226047175322', '19.057761746112917', '19.05459743878719', '19.054601336242683']",120.0
"['19.057823129251695', '19.008757396449706', '19.004057279236278', '18.996218487394962', '19.00176358436606', '18.984565656565668', '18.997482758620684', '19.003100303951374', '18.990830403029502', '18.981118195193716', '18.97392575928008', '18.97392575928008']",120.0
"['19.26883116883117', '19.146280056336934', '19.117529858790547', '19.0577725222918', '19.066107363009948', '19.06346005701098', '19.04760875886839', '19.035657301314473', '19.028228843439898', '19.01575191219314', '19.016033154240095', '19.016034825119824']",120.0
"['18.98835147906362', '18.972964971968633', '18.944913671503663', '18.9487455613551', '18.96264520243993', '18.983173176623445', '18.973241685858383', '18.9733854005815', '18.96383605789179', '18.97245868139339', '18.972458843336597']",120.0
